2025-01-28 17:53:18.231 | INFO     | utils.utils_logger:<module>:38 - Logging to file: logs\project_log.log
2025-01-28 17:53:18.339 | INFO     | __main__:<module>:68 - Project root: C:\Users\18165\Documents\44671_Streaming\buzzline-03-valenti
2025-01-28 17:53:18.348 | INFO     | __main__:<module>:72 - Data folder: C:\Users\18165\Documents\44671_Streaming\buzzline-03-valenti\data
2025-01-28 17:53:18.388 | INFO     | __main__:<module>:76 - Data file: C:\Users\18165\Documents\44671_Streaming\buzzline-03-valenti\data\buzz.json
2025-01-28 17:53:18.418 | INFO     | __main__:main:136 - START producer.
2025-01-28 17:53:18.442 | INFO     | utils.utils_producer:get_zookeeper_address:57 - Zookeeper address: localhost:2181
2025-01-28 17:53:18.486 | INFO     | utils.utils_producer:check_zookeeper_service_is_ready:79 - Zookeeper is ready at localhost:2181.
2025-01-28 17:53:18.504 | INFO     | utils.utils_producer:get_kafka_broker_address:50 - Kafka broker address: localhost:9092
2025-01-28 17:53:18.871 | INFO     | utils.utils_producer:check_kafka_service_is_ready:98 - Kafka is ready. Brokers: {'throttle_time_ms': 0, 'brokers': [{'node_id': 1001, 'host': 'localhost', 'port': 9092, 'rack': None}], 'cluster_id': 'LEQAc2qESaqQXKM_wFmHpg', 'controller_id': 1001}
2025-01-28 17:53:18.874 | INFO     | __main__:get_kafka_topic:50 - Kafka topic: buzzline_json
2025-01-28 17:53:18.876 | INFO     | __main__:get_message_interval:57 - Message interval: 1 seconds
2025-01-28 17:53:18.880 | INFO     | utils.utils_producer:get_kafka_broker_address:50 - Kafka broker address: localhost:9092
2025-01-28 17:53:18.881 | INFO     | utils.utils_producer:create_kafka_producer:146 - Connecting to Kafka broker at localhost:9092...
2025-01-28 17:53:19.004 | INFO     | utils.utils_producer:create_kafka_producer:151 - Kafka producer successfully created.
2025-01-28 17:53:19.005 | INFO     | utils.utils_producer:get_kafka_broker_address:50 - Kafka broker address: localhost:9092
2025-01-28 17:53:19.455 | INFO     | utils.utils_producer:create_kafka_topic:176 - Creating 'buzzline_json'.
2025-01-28 17:53:20.166 | INFO     | utils.utils_producer:create_kafka_topic:181 - Topic 'buzzline_json' created successfully.
2025-01-28 17:53:20.168 | INFO     | __main__:main:159 - Kafka topic 'buzzline_json' is ready.
2025-01-28 17:53:20.171 | INFO     | __main__:main:165 - Starting message production to topic 'buzzline_json'...
2025-01-28 17:53:20.173 | INFO     | __main__:generate_messages:95 - Opening data file in read mode: C:\Users\18165\Documents\44671_Streaming\buzzline-03-valenti\data\buzz.json
2025-01-28 17:53:20.199 | INFO     | __main__:generate_messages:97 - Reading data from file: C:\Users\18165\Documents\44671_Streaming\buzzline-03-valenti\data\buzz.json
2025-01-28 17:53:20.256 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'Data engineering is my passion.', 'author': 'Eve'}
2025-01-28 17:53:21.489 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'Distributed systems are fascinating.', 'author': 'Alice'}
2025-01-28 17:53:22.519 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'Have a great day!', 'author': 'Charlie'}
2025-01-28 17:53:23.525 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'Data engineering is my passion.', 'author': 'Alice'}
2025-01-28 17:53:24.530 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'Distributed systems are fascinating.', 'author': 'Diana'}
2025-01-28 17:53:25.535 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'Buzz messages for everyone.', 'author': 'Alice'}
2025-01-28 17:53:26.541 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'Hello, Kafka world!', 'author': 'Diana'}
2025-01-28 17:53:27.545 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'This is a buzz message.', 'author': 'Eve'}
2025-01-28 17:53:28.551 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'JSON makes life easier.', 'author': 'Eve'}
2025-01-28 17:53:29.555 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'JSON makes life easier.', 'author': 'Alice'}
2025-01-28 17:53:30.636 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'Data engineering is my passion.', 'author': 'Diana'}
2025-01-28 17:53:31.728 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'JSON makes life easier.', 'author': 'Diana'}
2025-01-28 17:53:32.749 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'Kafka is awesome.', 'author': 'Charlie'}
2025-01-28 17:53:33.779 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'JSON makes life easier.', 'author': 'Bob'}
2025-01-28 17:53:34.805 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'I love Python!', 'author': 'Bob'}
2025-01-28 17:53:35.808 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'This is a buzz message.', 'author': 'Eve'}
